date,opponent,venue,goals_for,goals_against,xg,xga,shots_for,shots_against,competition,manager,notes,season,match_number,points,result,goal_diff,xg_diff,shot_diff,cum_points,rolling_xg_diff,rolling_xga,rolling_shots_against,expected_points,cum_expected_points,ronaldo_period
2020-09-19,Crystal Palace,H,1,3,1.097,1.915,17,14,Premier League,Ole Gunnar Solskjaer,Real data fetched from Understat,2020_21_ole_baseline,1,0,L,-2,-0.8180000000000001,3,0,-0.8180000000000001,1.915,14.0,0.8644260542987485,0.8644260542987485,
2020-09-26,Brighton,A,3,2,1.576,2.977,7,19,Premier League,Ole Gunnar Solskjaer,Real data fetched from Understat,2020_21_ole_baseline,2,3,W,1,-1.4009999999999998,-12,3,-1.1095,2.4459999999999997,16.5,0.6991426672723005,1.563568721571049,
2020-10-04,Tottenham,H,1,6,0.873,3.302,5,22,Premier League,Ole Gunnar Solskjaer,Real data fetched from Understat,2020_21_ole_baseline,3,0,L,-5,-2.4290000000000003,-17,3,-1.5493333333333332,2.731333333333333,18.333333333333332,0.2921175911953057,1.8556863127663548,
2020-10-17,Newcastle United,A,4,1,2.217,0.867,29,7,Premier League,Ole Gunnar Solskjaer,Real data fetched from Understat,2020_21_ole_baseline,4,3,W,3,1.35,22,6,-0.8266666666666667,2.382,16.0,2.2278854813077524,4.083571794074107,
2020-10-24,Chelsea,H,0,0,0.648,0.22,14,6,Premier League,Ole Gunnar Solskjaer,Real data fetched from Understat,2020_21_ole_baseline,5,1,D,0,0.42800000000000005,8,7,-0.21700000000000005,1.463,11.666666666666666,1.7047104046372195,5.788282198711326,
2020-11-01,Arsenal,H,0,1,0.394,0.998,8,7,Premier League,Ole Gunnar Solskjaer,Real data fetched from Understat,2020_21_ole_baseline,6,0,L,-1,-0.604,1,7,0.3913333333333333,0.695,6.666666666666667,0.7869656979256623,6.575247896636989,
2020-11-07,Everton,A,3,1,1.596,0.376,13,7,Premier League,Ole Gunnar Solskjaer,Real data fetched from Understat,2020_21_ole_baseline,7,3,W,2,1.2200000000000002,6,10,0.34800000000000003,0.5313333333333333,6.666666666666667,2.27816159085617,8.85340948749316,
2020-11-21,West Bromwich Albion,H,1,0,2.43,0.439,17,7,Premier League,Ole Gunnar Solskjaer,Real data fetched from Understat,2020_21_ole_baseline,8,3,W,1,1.991,10,13,0.8690000000000001,0.6043333333333333,7.0,2.579950926140852,11.433360413634013,
2020-11-29,Southampton,A,3,2,2.475,0.499,15,10,Premier League,Ole Gunnar Solskjaer,Real data fetched from Understat,2020_21_ole_baseline,9,3,W,1,1.976,5,16,1.729,0.438,8.0,2.559045455606993,13.992405869241006,
2020-12-05,West Ham,A,3,1,1.787,2.53,15,19,Premier League,Ole Gunnar Solskjaer,Real data fetched from Understat,2020_21_ole_baseline,10,3,W,2,-0.7429999999999999,-4,19,1.0746666666666667,1.156,12.0,0.9980339240550846,14.99043979329609,
2020-12-12,Manchester City,H,0,0,0.592,1.284,11,9,Premier League,Ole Gunnar Solskjaer,Real data fetched from Understat,2020_21_ole_baseline,11,1,D,0,-0.6920000000000001,2,20,0.18033333333333335,1.4376666666666666,12.666666666666666,0.8084232231697441,15.798863016465834,
2020-12-17,Sheffield United,A,3,2,1.787,1.235,14,12,Premier League,Ole Gunnar Solskjaer,Real data fetched from Understat,2020_21_ole_baseline,12,3,W,1,0.5519999999999998,2,23,-0.2943333333333334,1.6829999999999998,13.333333333333334,1.7426053152481986,17.541468331714032,
2020-12-20,Leeds,H,6,2,4.777,1.635,26,17,Premier League,Ole Gunnar Solskjaer,Real data fetched from Understat,2020_21_ole_baseline,13,3,W,4,3.1420000000000003,9,26,1.0006666666666666,1.3846666666666667,12.666666666666666,2.6169475398233573,20.15841587153739,
2020-12-26,Leicester,A,2,2,2.084,1.04,10,10,Premier League,Ole Gunnar Solskjaer,Real data fetched from Understat,2020_21_ole_baseline,14,1,D,0,1.044,0,27,1.5793333333333333,1.3033333333333335,13.0,2.046476854901097,22.204892726438487,
2020-12-29,Wolverhampton Wanderers,H,1,0,1.482,0.411,11,9,Premier League,Ole Gunnar Solskjaer,Real data fetched from Understat,2020_21_ole_baseline,15,3,W,1,1.071,2,30,1.7523333333333335,1.0286666666666666,12.0,2.18379440231793,24.388687128756416,
2021-01-01,Aston Villa,H,2,1,2.465,1.564,19,15,Premier League,Ole Gunnar Solskjaer,Real data fetched from Understat,2020_21_ole_baseline,16,3,W,1,0.9009999999999998,4,33,1.005333333333333,1.0050000000000001,11.333333333333334,1.91184180397728,26.300528932733695,
2021-01-12,Burnley,A,1,0,1.24,0.649,13,12,Premier League,Ole Gunnar Solskjaer,Real data fetched from Understat,2020_21_ole_baseline,17,3,W,1,0.591,1,36,0.8543333333333331,0.8746666666666667,12.0,1.8171203734259438,28.117649306159638,
2021-01-17,Liverpool,A,0,0,1.189,1.202,8,17,Premier League,Ole Gunnar Solskjaer,Real data fetched from Understat,2020_21_ole_baseline,18,1,D,0,-0.0129999999999999,-9,37,0.4929999999999998,1.1383333333333334,14.666666666666666,1.3519099903712197,29.469559296530857,
2021-01-20,Fulham,A,2,1,1.684,0.754,15,12,Premier League,Ole Gunnar Solskjaer,Real data fetched from Understat,2020_21_ole_baseline,19,3,W,1,0.9299999999999999,3,40,0.5026666666666665,0.8683333333333333,13.666666666666666,2.0276754948617333,31.49723479139259,
2021-01-27,Sheffield United,H,1,2,0.993,0.69,16,5,Premier League,Ole Gunnar Solskjaer,Real data fetched from Understat,2020_21_ole_baseline,20,0,L,-1,0.30300000000000005,11,40,0.40666666666666657,0.882,11.333333333333334,1.5855169070738575,33.082751698466446,
2021-01-30,Arsenal,A,0,0,1.513,0.747,14,17,Premier League,Ole Gunnar Solskjaer,Real data fetched from Understat,2020_21_ole_baseline,21,1,D,0,0.7659999999999999,-3,41,0.6663333333333331,0.7303333333333333,11.333333333333334,1.9266134655517635,35.009365164018206,
2021-02-02,Southampton,H,9,0,5.032,0.508,24,4,Premier League,Ole Gunnar Solskjaer,Real data fetched from Understat,2020_21_ole_baseline,22,3,W,9,4.524,20,44,1.8643333333333334,0.6483333333333333,8.666666666666666,2.890580577452233,37.89994574147044,
2021-02-06,Everton,H,3,3,1.718,1.557,14,6,Premier League,Ole Gunnar Solskjaer,Real data fetched from Understat,2020_21_ole_baseline,23,1,D,0,0.16100000000000003,8,45,1.8169999999999995,0.9373333333333332,9.0,1.4867630480461602,39.3867087895166,
2021-02-14,West Bromwich Albion,A,1,1,0.424,0.946,10,7,Premier League,Ole Gunnar Solskjaer,Real data fetched from Understat,2020_21_ole_baseline,24,1,D,0,-0.522,3,46,1.3876666666666664,1.0036666666666667,5.666666666666667,0.849310740475105,40.2360195299917,
2021-02-21,Newcastle United,H,3,1,1.726,0.342,15,10,Premier League,Ole Gunnar Solskjaer,Real data fetched from Understat,2020_21_ole_baseline,25,3,W,2,1.384,5,49,0.3409999999999997,0.9483333333333333,7.666666666666667,2.372278204948093,42.608297734939796,
2021-02-28,Chelsea,A,0,0,0.36,1.173,11,18,Premier League,Ole Gunnar Solskjaer,Real data fetched from Understat,2020_21_ole_baseline,26,1,D,0,-0.8130000000000001,-7,50,0.016333333333332978,0.8203333333333335,11.666666666666666,0.6574336709502986,43.265731405890094,
2021-03-03,Crystal Palace,A,0,0,0.584,0.742,11,8,Premier League,Ole Gunnar Solskjaer,Real data fetched from Understat,2020_21_ole_baseline,27,1,D,0,-0.15800000000000003,3,51,0.1376666666666663,0.7523333333333334,12.0,1.1579903839069912,44.423721789797085,
2021-03-07,Manchester City,A,2,0,2.114,1.276,8,23,Premier League,Ole Gunnar Solskjaer,Real data fetched from Understat,2020_21_ole_baseline,28,3,W,2,0.8379999999999999,-15,54,-0.0443333333333337,1.0636666666666665,16.333333333333332,1.906260939826883,46.32998272962397,
2021-03-14,West Ham,H,1,0,1.701,0.464,15,8,Premier League,Ole Gunnar Solskjaer,Real data fetched from Understat,2020_21_ole_baseline,29,3,W,1,1.237,7,57,0.6389999999999997,0.8273333333333334,13.0,2.2630667858766844,48.59304951550065,
2021-04-04,Brighton,H,2,1,1.735,1.411,15,5,Premier League,Ole Gunnar Solskjaer,Real data fetched from Understat,2020_21_ole_baseline,30,3,W,1,0.32400000000000007,10,60,0.7996666666666664,1.0503333333333333,12.0,1.5917527784179366,50.18480229391859,
2021-04-11,Tottenham,A,3,1,2.097,0.922,12,12,Premier League,Ole Gunnar Solskjaer,Real data fetched from Understat,2020_21_ole_baseline,31,3,W,2,1.1749999999999998,0,63,0.9119999999999996,0.9323333333333333,8.333333333333334,2.1329576698017036,52.31775996372029,
2021-04-18,Burnley,H,3,1,2.875,0.96,17,10,Premier League,Ole Gunnar Solskjaer,Real data fetched from Understat,2020_21_ole_baseline,32,3,W,2,1.915,7,66,1.1379999999999997,1.0976666666666668,9.0,2.434799102023213,54.752559065743505,
2021-04-25,Leeds,A,0,0,1.116,0.217,16,6,Premier League,Ole Gunnar Solskjaer,Real data fetched from Understat,2020_21_ole_baseline,33,1,D,0,0.8990000000000001,10,67,1.3296666666666666,0.6996666666666668,9.333333333333334,2.121986017805144,56.87454508354865,
2021-05-09,Aston Villa,A,3,1,1.888,0.565,18,11,Premier League,Ole Gunnar Solskjaer,Real data fetched from Understat,2020_21_ole_baseline,34,3,W,2,1.323,7,70,1.3789999999999996,0.5806666666666666,9.0,2.2809553161288036,59.15550039967745,
2021-05-11,Leicester,H,1,2,0.213,0.992,4,12,Premier League,Ole Gunnar Solskjaer,Real data fetched from Understat,2020_21_ole_baseline,35,0,L,-1,-0.779,-8,70,0.4809999999999997,0.5913333333333334,9.666666666666666,0.6023807589530524,59.757881158630504,
2021-05-13,Liverpool,H,2,4,1.713,2.938,18,17,Premier League,Ole Gunnar Solskjaer,Real data fetched from Understat,2020_21_ole_baseline,36,0,L,-2,-1.225,1,70,-0.22700000000000028,1.4983333333333333,13.333333333333334,0.784283115710708,60.54216427434121,
2021-05-18,Fulham,H,1,1,0.922,0.873,13,8,Premier League,Ole Gunnar Solskjaer,Real data fetched from Understat,2020_21_ole_baseline,37,1,D,0,0.049000000000000044,5,71,-0.651666666666667,1.601,12.333333333333334,1.3755728266154037,61.917737100956614,
2021-05-23,Wolverhampton Wanderers,A,2,1,2.052,0.701,9,14,Premier League,Ole Gunnar Solskjaer,Real data fetched from Understat,2020_21_ole_baseline,38,3,W,1,1.351,-5,74,0.05833333333333298,1.5040000000000002,13.0,2.262673646488019,64.18041074744464,
2021-08-14,Leeds,H,5,1,1.642,0.568,16,10,Premier League,Ole Gunnar Solskjaer,Real data fetched from Understat,2021_22_to_ole_exit,1,3,W,4,1.0739999999999998,6,3,1.0739999999999998,0.568,10.0,2.148070098114335,2.148070098114335,Pre-Ronaldo
2021-08-22,Southampton,A,1,1,2.262,0.588,16,8,Premier League,Ole Gunnar Solskjaer,Real data fetched from Understat,2021_22_to_ole_exit,2,1,D,0,1.674,8,4,1.3739999999999999,0.578,9.0,2.4291589391629156,4.577229037277251,Pre-Ronaldo
2021-08-29,Wolverhampton Wanderers,A,1,0,0.944,1.796,10,15,Premier League,Ole Gunnar Solskjaer,Real data fetched from Understat,2021_22_to_ole_exit,3,3,W,1,-0.8520000000000001,-5,7,0.6319999999999999,0.984,11.0,0.8168950143647983,5.394124051642049,Pre-Ronaldo
2021-09-11,Newcastle United,H,4,1,2.773,0.622,21,12,Premier League,Ole Gunnar Solskjaer,Real data fetched from Understat,2021_22_to_ole_exit,4,3,W,3,2.1510000000000002,9,10,0.991,1.002,11.666666666666666,2.5812298684476374,7.975353920089686,Post-Ronaldo
2021-09-19,West Ham,A,2,1,1.895,1.667,17,13,Premier League,Ole Gunnar Solskjaer,Real data fetched from Understat,2021_22_to_ole_exit,5,3,W,1,0.22799999999999998,4,13,0.5090000000000001,1.361666666666667,13.333333333333334,1.5292589218374042,9.504612841927091,Post-Ronaldo
2021-09-25,Aston Villa,H,0,1,1.925,1.572,28,7,Premier League,Ole Gunnar Solskjaer,Real data fetched from Understat,2021_22_to_ole_exit,6,0,L,-1,0.353,21,13,0.9106666666666667,1.2870000000000001,10.666666666666666,1.606525700914447,11.111138542841537,Post-Ronaldo
2021-10-02,Everton,H,1,1,1.05,1.322,13,12,Premier League,Ole Gunnar Solskjaer,Real data fetched from Understat,2021_22_to_ole_exit,7,1,D,0,-0.272,1,14,0.10300000000000005,1.5203333333333333,10.666666666666666,1.1640858340081925,12.27522437684973,Post-Ronaldo
2021-10-16,Leicester,A,2,4,1.025,2.966,18,22,Premier League,Ole Gunnar Solskjaer,Real data fetched from Understat,2021_22_to_ole_exit,8,0,L,-2,-1.9410000000000003,-4,14,-0.62,1.9533333333333334,13.666666666666666,0.43310294085975903,12.70832731770949,Post-Ronaldo
2021-10-24,Liverpool,H,0,5,1.356,4.048,12,19,Premier League,Ole Gunnar Solskjaer,Real data fetched from Understat,2021_22_to_ole_exit,9,0,L,-5,-2.692,-7,14,-1.635,2.7786666666666666,17.666666666666668,0.3189136121999411,13.02724092990943,Post-Ronaldo
2021-10-30,Tottenham,A,3,0,1.386,1.158,10,9,Premier League,Ole Gunnar Solskjaer,Real data fetched from Understat,2021_22_to_ole_exit,10,3,W,3,0.22799999999999998,1,17,-1.4683333333333335,2.724,16.666666666666668,1.5288149642206907,14.556055894130122,Post-Ronaldo
2021-11-06,Manchester City,H,0,2,0.76,2.042,6,16,Premier League,Ole Gunnar Solskjaer,Real data fetched from Understat,2021_22_to_ole_exit,11,0,L,-2,-1.2819999999999998,-10,17,-1.2486666666666666,2.416,14.666666666666666,0.5847553060905791,15.140811200220702,Post-Ronaldo
2021-11-20,Watford,A,1,4,1.668,2.734,9,20,Premier League,Ole Gunnar Solskjaer,Real data fetched from Understat,2021_22_to_ole_exit,12,0,L,-3,-1.066,-11,17,-0.7066666666666667,1.9779999999999998,15.0,0.8419641012178753,15.982775301438577,Post-Ronaldo
